filename,description
catview_plant_swiveled_0001.jpg,"tall houseplant moved or knocked, very close to the cat's nose. Photo should be taken from cat eye level (low angle), real photograph."
catview_toy_mouse_moving_0002.jpg,"small toy mouse on string moving across floor, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_oven_timer_0003.jpg,"kitchen oven timer lighted or person at oven, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_person_reaching_hand_0004.jpg,"human hand reaching towards the camera from above, very close to the cat's nose. Photo should be taken from cat eye level (low angle), real photograph."
catview_cat_carrier_0005.jpg,"cat carrier placed near door, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_mirror_self_0006.jpg,"cat's reflection in low mirror, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_rain_on_window_0007.jpg,"raindrops visible on windowpane, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_tv_screen_0008.jpg,"TV screen with moving bright images, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_open_window_blind_0009.jpg,"window blind partially open, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_bird_window_0010.jpg,"small bird on a branch outside a window, seen from inside, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_person_reaching_hand_0011.jpg,"human hand reaching towards the camera from above, sudden appearance in peripheral vision. Photo should be taken from cat eye level (low angle), real photograph."
catview_laser_dot_0012.jpg,"small red laser dot on hardwood floor, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_trash_bag_0013.jpg,"plastic trash bag partially open on floor, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_person_reaching_hand_0014.jpg,"human hand reaching towards the camera from above, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_bird_window_0015.jpg,"small bird on a branch outside a window, seen from inside, sudden appearance in peripheral vision. Photo should be taken from cat eye level (low angle), real photograph."
catview_trash_bag_0016.jpg,"plastic trash bag partially open on floor, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_kid_running_0017.jpg,"small child running through room, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_cucumber_0018.jpg,"long green cucumber lying on kitchen floor behind food bowl, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_vacuum_attachment_0019.jpg,"vacuum attachment left on floor, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_door_closed_0020.jpg,"closed interior door with light under the gap, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_person_bending_with_food_0021.jpg,"human bending down holding a bowl of wet cat food, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_door_closed_0022.jpg,"closed interior door with light under the gap, very close to the cat's nose. Photo should be taken from cat eye level (low angle), real photograph."
catview_shoes_in_corner_0023.jpg,"pair of shoes left near wall, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_string_toy_0024.jpg,"string or yarn tangled on the floor, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_closed_window_blind_0025.jpg,"window blind lowered with slats, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_rain_on_window_0026.jpg,"raindrops visible on windowpane, sudden appearance in peripheral vision. Photo should be taken from cat eye level (low angle), real photograph."
catview_another_cat_staring_0027.jpg,"another cat sitting and staring across the room, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_open_window_blind_0028.jpg,"window blind partially open, very close to the cat's nose. Photo should be taken from cat eye level (low angle), real photograph."
catview_treat_bag_shake_0029.jpg,"human shaking a bag of cat treats, sudden appearance in peripheral vision. Photo should be taken from cat eye level (low angle), real photograph."
catview_blower_noise_0030.jpg,"leaf blower or loud machinery visible through window, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_open_fridge_0031.jpg,"fridge door open with light inside, very close to the cat's nose. Photo should be taken from cat eye level (low angle), real photograph."
catview_open_window_blind_0032.jpg,"window blind partially open, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_door_open_0033.jpg,"open interior door leading to hallway, sudden appearance in peripheral vision. Photo should be taken from cat eye level (low angle), real photograph."
catview_vacuum_attachment_0034.jpg,"vacuum attachment left on floor, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_bird_window_0035.jpg,"small bird on a branch outside a window, seen from inside, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_new_box_0036.jpg,"fresh cardboard box placed on floor, open, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_visitor_arrival_0037.jpg,"a stranger entering through door, very close to the cat's nose. Photo should be taken from cat eye level (low angle), real photograph."
catview_robot_vacuum_0038.jpg,"robotic vacuum (Roomba-style) moving across floor, very close to the cat's nose. Photo should be taken from cat eye level (low angle), real photograph."
catview_person_bending_with_food_0039.jpg,"human bending down holding a bowl of wet cat food, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_vacuum_attachment_0040.jpg,"vacuum attachment left on floor, sudden appearance in peripheral vision. Photo should be taken from cat eye level (low angle), real photograph."
catview_open_tuna_can_0041.jpg,"open can of tuna on counter visible from low angle, sudden appearance in peripheral vision. Photo should be taken from cat eye level (low angle), real photograph."
catview_visitor_arrival_0042.jpg,"a stranger entering through door, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_open_window_blind_0043.jpg,"window blind partially open, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_kid_running_0044.jpg,"small child running through room, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_dog_nearby_0045.jpg,"large dog standing a few feet away, seen from low angle, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_robot_vacuum_0046.jpg,"robotic vacuum (Roomba-style) moving across floor, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_another_cat_staring_0047.jpg,"another cat sitting and staring across the room, very close to the cat's nose. Photo should be taken from cat eye level (low angle), real photograph."
catview_person_bending_with_food_0048.jpg,"human bending down holding a bowl of wet cat food, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_cucumber_0049.jpg,"long green cucumber lying on kitchen floor behind food bowl, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_vacuum_power_cord_0050.jpg,"power cord trailing across floor, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_window_open_0051.jpg,"window slightly open with breeze, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_mirror_0052.jpg,"reflective surface showing distorted shapes, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_tv_screen_0053.jpg,"TV screen with moving bright images, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_vacuum_attachment_0054.jpg,"vacuum attachment left on floor, very close to the cat's nose. Photo should be taken from cat eye level (low angle), real photograph."
catview_bird_window_0055.jpg,"small bird on a branch outside a window, seen from inside, very close to the cat's nose. Photo should be taken from cat eye level (low angle), real photograph."
catview_bird_window_0056.jpg,"small bird on a branch outside a window, seen from inside, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_ceiling_fan_shadow_0057.jpg,"shadow of a ceiling fan moving on floor/wall, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_string_toy_0058.jpg,"string or yarn tangled on the floor, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_bird_window_0059.jpg,"small bird on a branch outside a window, seen from inside, very close to the cat's nose. Photo should be taken from cat eye level (low angle), real photograph."
catview_laser_dot_0060.jpg,"small red laser dot on hardwood floor, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_human_sleeping_0061.jpg,"human sleeping on couch or bed nearby, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_treat_bag_shake_0062.jpg,"human shaking a bag of cat treats, sudden appearance in peripheral vision. Photo should be taken from cat eye level (low angle), real photograph."
catview_string_toy_0063.jpg,"string or yarn tangled on the floor, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_open_fridge_0064.jpg,"fridge door open with light inside, sudden appearance in peripheral vision. Photo should be taken from cat eye level (low angle), real photograph."
catview_cat_tree_sunspot_0065.jpg,"sunlit patch on a cat tree or carpet, very close to the cat's nose. Photo should be taken from cat eye level (low angle), real photograph."
catview_person_bending_with_food_0066.jpg,"human bending down holding a bowl of wet cat food, very close to the cat's nose. Photo should be taken from cat eye level (low angle), real photograph."
catview_visitor_arrival_0067.jpg,"a stranger entering through door, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_curtain_moving_0068.jpg,"curtain blowing slightly in wind near low window, very close to the cat's nose. Photo should be taken from cat eye level (low angle), real photograph."
catview_toy_mouse_moving_0069.jpg,"small toy mouse on string moving across floor, sudden appearance in peripheral vision. Photo should be taken from cat eye level (low angle), real photograph."
catview_rain_on_window_0070.jpg,"raindrops visible on windowpane, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_mirror_0071.jpg,"reflective surface showing distorted shapes, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_fan_on_0072.jpg,"floor fan turned on facing the area, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_toy_mouse_moving_0073.jpg,"small toy mouse on string moving across floor, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_hands_washing_0074.jpg,"human hands washing dishes, low view, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_vacuum_0075.jpg,"vacuum cleaner turned on and approaching across floor, sudden appearance in peripheral vision. Photo should be taken from cat eye level (low angle), real photograph."
catview_cucumber_0076.jpg,"long green cucumber lying on kitchen floor behind food bowl, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_open_tuna_can_0077.jpg,"open can of tuna on counter visible from low angle, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_door_open_0078.jpg,"open interior door leading to hallway, a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_carpet_rip_0079.jpg,"loose rug or carpet flap that moves when stepped, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_open_fridge_0080.jpg,"fridge door open with light inside, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_fan_on_0081.jpg,"floor fan turned on facing the area, very close to the cat's nose. Photo should be taken from cat eye level (low angle), real photograph."
catview_empty_food_bowl_0082.jpg,"empty metal food bowl on kitchen floor, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_mirror_self_0083.jpg,"cat's reflection in low mirror, visible far off at window or across room. Photo should be taken from cat eye level (low angle), real photograph."
catview_fan_on_0084.jpg,"floor fan turned on facing the area, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
catview_laser_dot_0085.jpg,"small red laser dot on hardwood floor, sudden appearance in peripheral vision. Photo should be taken from cat eye level (low angle), real photograph."
catview_baby_crying_0086.jpg,"baby making loud crying sounds in another room (visual of carry), a few steps away at cat's height. Photo should be taken from cat eye level (low angle), real photograph."
catview_ceiling_fan_shadow_0087.jpg,"shadow of a ceiling fan moving on floor/wall, constant presence in the environment. Photo should be taken from cat eye level (low angle), real photograph."
